vendor,id,alarm_name,alarm_severity,alarm_start_date,alarm_end_date,location_site,card_uid,card_family,alarm_group,site_code,equipamento,Site,NE,Endereco,Complemento,Latitude,Longitude,Cidade,Severidade,Regional,Anel,alarm_active,Classificacao,flag
,,,,,,,,,,,,Mussuré,,"Rua Evany Viana Machado, s/n-",Conjunto Costa e,0,0,João Pessoa,,,,0,,1
,,,,,,,,,,,,Ouro Preto,1ORP-OPD,"Rod. BR 356 BH-Ouro Preto, Km 61",Sítio Rural Itabirito 51,-20.296297,-43.759295,Itabirito,,Leste,ANEL 1,0,,1
,,,,,,,,,,,,João Monlevade,1JML-MVE,"Estrada do Forninho, S/N",,-19.81647,-43.13512,João Monlevade,,Leste,ANEL 7 LITORAL INFERIOR,0,,1
,,,,,,,,,,,,Belo Horizonte CEMIG,4BHE-CGG,"AV.Barbacena ,1200 - Santo Agostinho",,0,0,Belo Horizonte,,Leste,,0,,1
,,,,,,,,,,,,RJ1 EQUINIX Data Center,2RJO-RJ1,"R. Voluntários da Pátria, 360 - Botafogo",,-22.95487,-43.19462,Rio de Janeiro,,Leste,,0,,1
,,,,,,,,,,,,Belo Horizonte GLOBO,4BHE-GCP,"Av. Amercio Vespúcio, 2045 - Caiçaras",,0,0,Belo Horizonte,,Leste,,0,,1
,,,,,,,,,,,,Grajaú - Rio de Janeiro,1RJO-GJU,"Rua Borda do Mato, 381",Estação de Furnas,-22.92667,-43.26556,Rio de Janeiro,,Leste,,0,,1
,,,,,,,,,,,,Monsenhor Jerônimo VIVO,4RJO-MSJ,"Rua Monsenhor Jeronimo,94 ",Engenho de Dentro CEP20730-110,0,0,Rio de Janeiro,,Leste,,0,,1
,,,,,,,,,,,,Rio de Janeiro TELEPORTO,2RJO-TLP,"RUA AFONSO CAVALCANTI, 58 (no poste em frente)",Ed. Centro Empresarial,-22.910236,-43.203817,Rio de Janeiro,,Leste,,0,,1
,,,,,,,,,,,,Almenara,1ALM-AMN,"Praça Subestação, Nº 265 - Centro",Torre 24 - trecho Almenara-Itajimirim-CE002 Cx 846 ,-16.189431,-40.689396,Almenara,,Leste,ANEL 7 LITORAL INFERIOR,0,,1
,,,,,,,,,,,,RIO DE JANEIRO,1RJO-PTT,"Rua Carolina Reydner, 50",,22.914561,43.197144,Rio de Janeiro,,Leste,,0,,1
,,,,,,,,,,,,João Monlevade ATC,4JML-ATC,"Rua Geraldo Antonio, 130",Centro - Sala ATC,-19.817276,-43.17597,João Monlevade,,Leste,,0,,1
,,,,,,,,,,,,Rio de Janeiro COMSAT,4RJO-CST,"Av. Rio Branco 01, Sala 1810-Centro",,-43.18059,-22.89747,Rio de Janeiro,,Leste,,0,,1
